Tf,Target
5874,2072
5874,6998
6504,5591
6720,5245
449,6321
1002,6216
146,5995
1938,7252
6034,9743
5643,5258
7558,449
6718,5781
7536,6737
5013,4353
5757,3191
3753,5591
7316,6642
5643,5545
6029,1721
6251,6444
5475,167
5475,6604
5475,1801
5475,5888
9783,9778
6644,1721
6644,4171
1352,5510
332,5510
663,5510
2500,5510
8922,5510
6660,2761
1938,6523
6307,5422
2188,6275
6034,7125
9299,3540
9299,4466
5081,5456
2440,1352
2440,4416
5655,5019
5655,467
5655,5540
5655,6233
5655,6422
5655,4796
5655,6176
5655,3606
5013,8130
5655,4001
5655,7767
5119,4335
5603,5083
6406,6422
6406,467
6406,4001
6406,6176
6406,5019
6406,4796
6406,3606
6406,6233
4825,2223
6374,5593
6432,6444
449,2439
6034,5743
2008,3849
4825,389
11812,743
1483,1002
6231,6632
7759,3191
6191,6444
8922,1353
663,1353
2500,1353
6403,3785
1334,5067
6380,5666
7395,5992
5660,7316
8752,5591
162,3888
4825,6829
5822,1402
2161,7889
4825,4756
9783,7069
3999,6631
6240,6216
7482,9042
7482,8175
7482,5473
5013,761
2161,7849
4711,9778
6660,7852
5769,5083
6718,608
6380,6592
6380,6309
6380,5941
2440,2423
5058,1078
6718,1661
6718,6261
1643,2286
5822,4417
4416,5742
4335,5590
6720,6631
4825,1447
9299,5850
7536,9887
6718,7918
6374,5866
1938,8591
449,3540
146,5464
146,4452
146,1362
146,8066
7071,2395
6307,5058
2440,3561
5081,4830
6374,5755
6718,5587
5807,8147
7780,5872
6994,6275
1352,5480
8922,5480
663,5480
332,5480
2500,5480
3785,5633
5757,6444
4711,7069
3999,3861
4481,6066
663,5115
2500,5115
8922,5115
449,5850
5674,5850
6919,7638
6919,7250
5928,2482
8922,4446
9299,5918
1643,6084
6307,2065
4825,6487
3362,8637
9299,7977
6034,2257
6720,3861
2255,4300
5013,5867
1313,8883
1313,4420
2067,6415
5081,4947
4364,5666
7759,6444
3785,900
5655,8175
5655,5473
5655,9042
1334,7997
2255,6316
449,5918
9299,4869
6523,5590
5773,5259
6297,6261
2188,3191
4825,6013
9787,6303
11416,12916
4825,6267
6406,8175
6406,9042
6406,5473
9299,709
4825,5219
7490,4420
7490,8883
6034,6265
5704,5218
449,709
1879,5826
9299,6486
1599,2220
6019,6097
2161,4511
4825,2393
3785,5653
7316,4776
4364,5941
4364,12748
4364,1336
4364,6592
4364,4475
4364,6309
5655,1924
146,2316
4364,5763
7947,4786
6034,9607
6084,6226
1938,6073
146,8589
8028,5218
909,5498
1879,2161
8467,7020
6718,5812
6403,1411
6403,6229
6403,1414
6403,6463
6403,2947
1483,6005
6374,10203
8467,2701
6251,1078
4825,5932
7947,11416
6994,3191
146,4383
144,2761
7857,7069
1924,7009
6555,5963
5687,5963
2212,5510
4468,6012
9299,6397
449,6397
7536,5591
449,4869
4825,2480
9299,6615
9299,5828
449,6642
449,6486
5947,5729
2440,4479
9299,6072
7947,6263
146,2188
146,4375
146,2442
7482,5758
5928,2288
4825,9794
4416,7739
6660,9688
449,5828
5067,6084
6488,5751
318,2500
7622,2500
5704,8804
9408,4270
9408,3999
11812,4505
4416,6006
1879,4916
1483,1380
5058,5083
2395,4786
146,1498
6668,6737
2188,6444
9299,453
9299,6419
7947,5574
5822,4775
5013,7755
5120,2072
5120,6998
4941,12879
8028,8804
5643,6019
5013,433
1483,4366
5475,2303
4947,6084
1334,5062
144,7852
146,6281
2161,2136
5822,5692
1938,5510
2255,2265
5454,4786
9299,7780
2255,7997
2161,9800
1334,4776
9299,5877
9299,7075
7228,6097
5081,6185
6307,3362
9299,11812
6660,6066
5643,6438
2067,6969
